,Pretrained_feature_predict,id
0,61.674713,7.0
1,38.29978,16.0
2,39.822613,17.0
3,44.376617,22.0
4,34.55608,35.0
5,43.769817,36.0
6,41.63531,37.0
7,35.67249,43.0
8,45.06839,56.0
9,44.62054,62.0
10,36.594395,67.0
11,39.577267,68.0
12,42.54475,69.0
13,37.89261,70.0
14,28.589462,71.0
15,31.012453,72.0
16,43.063564,73.0
17,37.82669,78.0
18,34.74114,98.0
19,33.796726,99.0
20,47.95007,101.0
21,45.64803,102.0
22,41.89129,103.0
23,47.581413,108.0
24,40.45868,110.0
25,35.1105,111.0
26,32.508614,112.0
27,39.49325,113.0
28,44.629326,114.0
29,51.58023,131.0
30,55.290966,132.0
31,49.723766,133.0
32,45.133335,134.0
33,46.812717,135.0
34,45.716957,137.0
35,36.54406,146.0
36,30.190458,159.0
37,42.044125,160.0
38,44.05907,165.0
39,36.26654,166.0
40,42.67662,179.0
41,41.27517,180.0
42,37.514935,181.0
43,36.7239,182.0
44,37.758633,187.0
45,36.07508,196.0
46,49.522655,201.0
47,54.18616,235.0
48,43.767494,240.0
49,35.886665,246.0
50,35.771713,247.0
51,33.198254,248.0
52,35.795383,269.0
53,43.058407,270.0
54,28.373732,587.0
55,28.373732,588.0
56,41.84049,589.0
57,41.84049,590.0
58,37.34794,591.0
59,37.34794,592.0
60,38.640816,593.0
61,38.640816,594.0
62,37.460705,595.0
63,37.460705,596.0
64,45.9974,597.0
65,45.9974,598.0
66,26.939274,599.0
67,35.311382,603.0
68,35.311382,604.0
69,41.199768,605.0
70,33.295437,607.0
71,33.295437,608.0
72,50.49056,609.0
73,50.49056,610.0
74,40.373234,612.0
75,34.833767,613.0
76,34.833767,614.0
77,41.155346,616.0
78,33.719265,617.0
79,33.719265,618.0
80,29.391094,619.0
81,29.391094,620.0
82,45.08595,621.0
83,45.08595,622.0
84,40.868473,623.0
85,37.802128,625.0
86,37.802128,626.0
87,40.529587,627.0
88,40.529587,628.0
89,35.09811,630.0
90,34.30539,631.0
91,34.30539,632.0
92,28.439693,633.0
93,28.439693,634.0
94,39.243046,635.0
95,39.709095,637.0
96,39.709095,638.0
97,36.371555,639.0
98,36.371555,640.0
99,41.364,641.0
100,41.364,642.0
101,38.472157,643.0
102,38.472157,644.0
103,35.23884,645.0
104,35.23884,646.0
105,33.2975,647.0
106,33.2975,648.0
107,53.31129,649.0
108,35.6362,651.0
109,35.6362,652.0
110,42.409176,653.0
111,42.409176,654.0
112,28.130219,655.0
113,28.130219,656.0
114,43.28899,657.0
115,43.28899,658.0
116,39.438736,659.0
117,39.438736,660.0
118,40.48848,661.0
119,40.48848,662.0
120,42.23598,663.0
121,33.254276,666.0
122,37.602863,667.0
123,37.602863,668.0
124,41.71858,670.0
125,44.819374,671.0
126,44.819374,672.0
127,34.689472,673.0
128,34.689472,674.0
129,49.183792,1400.0
130,50.53963,1401.0
131,43.61297,1402.0
132,48.666073,1403.0
133,40.65197,1404.0
134,46.729275,1405.0
135,39.847855,1406.0
136,56.12741,1407.0
137,40.511017,1408.0
138,34.236427,1409.0
139,40.99647,1410.0
140,45.99319,1411.0
141,56.33827,1412.0
142,51.109173,1413.0
143,49.714443,1414.0
144,44.035896,1415.0
145,34.20209,1416.0
146,31.996426,1417.0
147,37.739613,1418.0
148,43.788315,1420.0
149,38.69357,1421.0
150,40.279205,1422.0
151,48.56462,1423.0
152,42.56249,1424.0
153,42.22221,1425.0
154,42.20949,1426.0
155,43.438152,1427.0
156,48.397747,1428.0
157,52.816437,1429.0
158,42.499344,1430.0
159,41.849697,1431.0
160,48.366543,1432.0
161,42.99874,1433.0
162,39.007675,1434.0
163,48.193817,1435.0
164,33.58442,1437.0
165,36.478397,1438.0
166,33.12587,1439.0
167,43.271526,1443.0
168,37.746857,1444.0
169,47.768642,1445.0
170,40.93552,1446.0
171,48.382732,1447.0
172,45.751236,1450.0
173,45.87541,1451.0
174,38.46343,1452.0
175,38.77152,1453.0
176,52.13229,1454.0
177,53.613823,1455.0
178,47.653465,1457.0
179,39.955242,1458.0
180,48.005302,1459.0
181,46.106415,1460.0
182,39.159912,1462.0
183,48.575836,1463.0
184,35.2638,1464.0
185,36.074585,1465.0
186,32.54854,1466.0
187,29.385784,1467.0
188,36.458015,1468.0
189,36.482883,1469.0
190,44.46627,1470.0
191,42.023327,1471.0
192,37.25009,1472.0
193,36.569088,1473.0
194,44.31149,1474.0
195,46.125122,1475.0
196,49.43764,1476.0
197,44.675053,1477.0
198,40.56743,1478.0
199,47.094536,1479.0
200,43.888165,1480.0
201,45.24248,1481.0
202,46.281338,1482.0
203,37.032063,1483.0
204,44.44851,1484.0
205,46.088203,1485.0
206,44.08677,1486.0
207,35.53763,1487.0
208,32.719,1488.0
209,34.520546,1489.0
210,37.62099,1491.0
211,50.991405,1492.0
212,46.643787,1493.0
213,41.482746,1494.0
214,43.03573,1495.0
215,42.98319,1496.0
216,36.01418,1497.0
217,34.390232,1498.0
218,35.785183,1499.0
219,46.268593,1500.0
220,29.597597,1501.0
221,39.322033,1502.0
222,45.566338,1504.0
223,45.566338,1507.0
224,45.566338,1508.0
225,61.18853,1510.0
226,61.18853,1511.0
227,61.18853,1512.0
228,61.18853,1513.0
229,61.18853,1514.0
230,49.497494,1516.0
231,49.497494,1517.0
232,49.497494,1518.0
233,49.497494,1519.0
234,49.497494,1520.0
235,58.65071,1523.0
236,58.65071,1524.0
237,58.65071,1525.0
238,58.65071,1526.0
239,53.702095,1534.0
240,53.702095,1535.0
241,53.702095,1538.0
242,45.51846,1540.0
243,45.51846,1541.0
244,45.51846,1542.0
245,45.51846,1543.0
246,45.51846,1544.0
247,40.512028,1546.0
248,40.512028,1547.0
249,40.512028,1548.0
250,40.512028,1549.0
251,40.512028,1550.0
252,53.581257,1552.0
253,53.581257,1553.0
254,53.581257,1554.0
255,53.581257,1555.0
256,46.724697,1558.0
257,46.724697,1559.0
258,46.724697,1560.0
259,46.724697,1561.0
260,46.724697,1562.0
261,38.951977,1564.0
262,38.951977,1565.0
263,38.951977,1566.0
264,38.951977,1567.0
265,38.951977,1568.0
266,33.99561,1570.0
267,33.99561,1571.0
268,33.99561,1573.0
269,33.99561,1574.0
270,50.155964,1576.0
271,50.155964,1577.0
272,50.155964,1578.0
273,50.155964,1580.0
274,50.8917,1582.0
275,50.8917,1583.0
276,50.8917,1584.0
277,50.8917,1586.0
278,53.44437,1588.0
279,53.44437,1590.0
280,53.44437,1592.0
281,51.42835,1595.0
282,51.42835,1596.0
283,51.42835,1597.0
284,51.42835,1598.0
285,59.758274,1606.0
286,59.758274,1607.0
287,59.758274,1608.0
288,59.758274,1609.0
289,59.758274,1610.0
290,58.72614,1612.0
291,58.72614,1613.0
292,58.72614,1614.0
293,58.72614,1615.0
294,58.72614,1616.0
295,63.142178,1618.0
296,63.142178,1619.0
297,63.142178,1620.0
298,63.142178,1621.0
299,63.142178,1622.0
300,50.81065,1624.0
301,50.81065,1625.0
302,50.81065,1626.0
303,50.81065,1628.0
304,55.112595,1630.0
305,55.112595,1631.0
306,55.112595,1632.0
307,55.112595,1633.0
308,55.112595,1634.0
309,47.032032,1636.0
310,47.032032,1638.0
311,47.032032,1639.0
312,60.27175,1642.0
313,60.27175,1643.0
314,60.27175,1644.0
315,60.27175,1645.0
316,60.27175,1646.0
317,59.3883,1648.0
318,59.3883,1649.0
319,59.3883,1650.0
320,59.3883,1651.0
321,59.3883,1652.0
322,65.11831,1654.0
323,65.11831,1655.0
324,65.11831,1656.0
325,65.11831,1658.0
326,55.332767,1666.0
327,55.332767,1667.0
328,55.332767,1668.0
329,55.332767,1669.0
330,55.332767,1670.0
331,59.321693,1672.0
332,59.321693,1674.0
333,59.321693,1675.0
334,59.321693,1676.0
335,56.68656,1678.0
336,56.68656,1679.0
337,56.68656,1680.0
338,56.68656,1681.0
339,56.68656,1682.0
340,57.28194,1684.0
341,57.28194,1685.0
342,57.28194,1686.0
343,57.28194,1687.0
344,57.28194,1688.0
345,62.063274,1690.0
346,62.063274,1691.0
347,62.063274,1692.0
348,62.063274,1693.0
349,62.063274,1694.0
350,53.77245,1696.0
351,53.77245,1697.0
352,53.77245,1698.0
353,53.77245,1699.0
354,53.77245,1700.0
355,66.37688,1703.0
356,66.37688,1704.0
357,66.37688,1705.0
358,66.37688,1706.0
359,55.907604,1715.0
360,55.907604,1716.0
361,55.907604,1717.0
362,55.907604,1718.0
363,55.640854,1720.0
364,55.640854,1721.0
365,55.640854,1722.0
366,55.640854,1723.0
367,52.221405,1726.0
368,52.221405,1727.0
369,52.221405,1728.0
370,52.221405,1729.0
371,52.221405,1730.0
372,48.321274,1732.0
373,48.321274,1733.0
374,48.321274,1734.0
375,48.321274,1735.0
376,48.321274,1736.0
377,60.594303,1738.0
378,60.594303,1739.0
379,60.594303,1740.0
380,60.594303,1742.0
381,51.74039,1744.0
382,51.74039,1745.0
383,51.74039,1746.0
384,51.74039,1747.0
385,51.74039,1748.0
386,54.723263,1751.0
387,54.723263,1752.0
388,54.723263,1754.0
389,66.37216,1756.0
390,66.37216,1757.0
391,66.37216,1759.0
392,66.37216,1760.0
393,58.337936,1763.0
394,58.337936,1764.0
395,58.337936,1765.0
396,58.337936,1766.0
397,53.436745,1768.0
398,53.436745,1769.0
399,53.436745,1770.0
400,53.436745,1772.0
401,45.67675,1775.0
402,45.67675,1776.0
403,45.67675,1777.0
404,45.67675,1778.0
405,61.54243,1780.0
406,61.54243,1781.0
407,61.54243,1782.0
408,61.54243,1783.0
409,61.54243,1784.0
410,59.238556,1787.0
411,59.238556,1788.0
412,59.238556,1789.0
413,59.238556,1790.0
414,53.934887,1792.0
415,53.934887,1793.0
416,53.934887,1794.0
417,53.934887,1795.0
418,53.934887,1796.0
419,39.61859,1798.0
420,39.61859,1799.0
421,39.61859,1800.0
422,39.61859,1801.0
423,39.61859,1802.0
424,53.703987,1804.0
425,53.703987,1805.0
426,53.703987,1806.0
427,53.703987,1807.0
428,53.703987,1808.0
429,47.68374,1810.0
430,47.68374,1811.0
431,47.68374,1812.0
432,47.68374,1813.0
433,47.68374,1814.0
434,37.759888,1816.0
435,37.759888,1817.0
436,37.759888,1818.0
437,37.759888,1819.0
438,37.759888,1820.0
439,47.774467,1823.0
440,47.774467,1824.0
441,47.774467,1825.0
442,47.774467,1826.0
443,48.931744,1829.0
444,48.931744,1830.0
445,48.931744,1831.0
446,48.931744,1832.0
447,44.201374,1835.0
448,44.201374,1836.0
449,44.201374,1837.0
450,44.201374,1838.0
451,53.98603,1840.0
452,53.98603,1841.0
453,53.98603,1843.0
454,53.98603,1844.0
455,59.26022,1852.0
456,59.26022,1853.0
457,59.26022,1854.0
458,59.26022,1855.0
459,59.26022,1856.0
460,60.760983,1858.0
461,60.760983,1859.0
462,60.760983,1860.0
463,60.760983,1861.0
464,60.760983,1862.0
465,52.741444,1864.0
466,52.741444,1865.0
467,52.741444,1866.0
468,52.741444,1867.0
469,52.741444,1868.0
470,48.73281,1870.0
471,48.73281,1871.0
472,48.73281,1872.0
473,48.73281,1873.0
474,48.73281,1874.0
475,39.107265,1880.0
476,56.152912,1882.0
477,56.152912,1883.0
478,56.152912,1884.0
479,56.152912,1885.0
480,56.152912,1886.0
481,52.206722,1888.0
482,52.206722,1889.0
483,52.206722,1890.0
484,52.206722,1891.0
485,52.206722,1892.0
486,64.20839,1894.0
487,64.20839,1895.0
488,64.20839,1896.0
489,64.20839,1897.0
490,64.20839,1898.0
491,63.585434,1901.0
492,63.585434,1902.0
493,63.585434,1903.0
494,63.585434,1904.0
495,52.46877,1906.0
496,52.46877,1907.0
497,52.46877,1908.0
498,52.46877,1909.0
499,52.46877,1910.0
500,35.591377,1912.0
501,35.591377,1913.0
502,35.591377,1914.0
503,35.591377,1915.0
504,35.591377,1916.0
505,44.491657,1919.0
506,44.491657,1920.0
507,44.491657,1921.0
508,44.491657,1922.0
509,58.206337,1924.0
510,58.206337,1925.0
511,58.206337,1926.0
512,58.206337,1927.0
513,58.206337,1928.0
514,47.442513,1930.0
515,47.442513,1931.0
516,47.442513,1932.0
517,47.442513,1933.0
518,47.442513,1934.0
519,45.48823,1937.0
520,45.48823,1938.0
521,45.48823,1939.0
522,45.48823,1940.0
523,53.850567,1943.0
524,53.850567,1944.0
525,53.850567,1945.0
526,53.850567,1946.0
527,45.312687,1948.0
528,45.312687,1949.0
529,45.312687,1950.0
530,45.312687,1951.0
531,45.312687,1952.0
532,50.424484,1956.0
533,50.424484,1958.0
534,17.894945,1960.0
535,17.894945,1961.0
536,17.894945,1963.0
537,17.894945,1964.0
538,30.479849,1966.0
539,30.479849,1967.0
540,30.479849,1968.0
541,30.479849,1969.0
542,30.479849,1970.0
543,36.59638,1972.0
544,36.59638,1973.0
545,36.59638,1974.0
546,36.59638,1975.0
547,36.59638,1976.0
548,45.77082,1978.0
549,45.77082,1979.0
550,45.77082,1980.0
551,45.77082,1981.0
552,45.77082,1982.0
553,53.908264,1984.0
554,53.908264,1985.0
555,53.908264,1986.0
556,53.908264,1987.0
557,53.908264,1988.0
558,51.51851,1990.0
559,51.51851,1991.0
560,51.51851,1993.0
561,51.51851,1994.0
562,55.33379,1996.0
563,55.33379,1997.0
564,55.33379,1998.0
565,55.33379,1999.0
566,55.33379,2000.0
567,48.31361,2002.0
568,48.31361,2003.0
569,48.31361,2004.0
570,48.31361,2005.0
571,48.31361,2006.0
572,55.63208,2009.0
573,55.63208,2010.0
574,55.63208,2011.0
575,55.63208,2012.0
576,49.506363,2014.0
577,49.506363,2016.0
578,49.506363,2017.0
579,49.506363,2018.0
580,48.80269,2020.0
581,48.80269,2021.0
582,48.80269,2022.0
583,48.80269,2023.0
584,48.80269,2024.0
585,58.612694,2026.0
586,58.612694,2027.0
587,58.612694,2028.0
588,58.612694,2029.0
589,58.612694,2030.0
590,51.86246,2032.0
591,51.86246,2033.0
592,51.86246,2034.0
593,51.86246,2036.0
594,45.79315,2038.0
595,45.79315,2039.0
596,45.79315,2040.0
597,45.79315,2041.0
598,45.79315,2042.0
599,36.348167,2044.0
600,36.348167,2046.0
601,36.348167,2047.0
602,36.348167,2048.0
603,45.09902,2050.0
604,45.09902,2051.0
605,45.09902,2052.0
606,45.09902,2053.0
607,45.09902,2054.0
608,39.195553,2057.0
609,39.195553,2058.0
610,39.195553,2059.0
611,39.195553,2060.0
612,48.218113,2062.0
613,48.218113,2063.0
614,48.218113,2064.0
615,48.218113,2065.0
616,48.218113,2066.0
617,60.31568,2075.0
618,60.31568,2077.0
619,60.31568,2078.0
620,42.997795,2081.0
621,42.997795,2082.0
622,42.997795,2083.0
623,42.997795,2084.0
624,40.479782,2086.0
625,40.479782,2087.0
626,40.479782,2088.0
627,40.479782,2090.0
628,56.13232,2092.0
629,56.13232,2093.0
630,56.13232,2094.0
631,56.13232,2095.0
632,56.13232,2096.0
633,35.264103,2098.0
634,35.264103,2099.0
635,35.264103,2100.0
636,35.264103,2101.0
637,35.264103,2102.0
638,30.575983,2104.0
639,30.575983,2105.0
640,30.575983,2106.0
641,30.575983,2108.0
642,42.260036,2110.0
643,42.260036,2111.0
644,42.260036,2112.0
645,42.260036,2113.0
646,42.260036,2114.0
647,37.62668,2128.0
648,37.62668,2129.0
649,37.62668,2130.0
650,37.62668,2131.0
651,37.62668,2132.0
652,52.95448,2134.0
653,52.95448,2135.0
654,52.95448,2136.0
655,52.95448,2137.0
656,52.95448,2138.0
657,55.76818,2140.0
658,55.76818,2143.0
659,55.76818,2144.0
660,42.258938,2146.0
661,42.258938,2147.0
662,42.258938,2148.0
663,42.258938,2149.0
664,42.258938,2150.0
665,38.01115,2153.0
666,38.01115,2154.0
667,38.01115,2155.0
668,38.01115,2156.0
669,40.60524,2158.0
670,40.60524,2159.0
671,40.60524,2160.0
672,40.60524,2161.0
673,40.60524,2162.0
674,43.85278,2164.0
675,43.85278,2165.0
676,43.85278,2166.0
677,43.85278,2167.0
678,43.85278,2168.0
679,42.461014,2170.0
680,42.461014,2171.0
681,42.461014,2172.0
682,42.461014,2173.0
683,42.461014,2174.0
684,32.383778,2176.0
685,32.383778,2177.0
686,32.383778,2179.0
687,32.383778,2180.0
688,46.13547,2183.0
689,46.13547,2184.0
690,46.13547,2185.0
691,46.13547,2186.0
692,42.796368,2188.0
693,42.796368,2189.0
694,42.796368,2190.0
695,42.796368,2191.0
696,42.796368,2192.0
697,46.222187,2194.0
698,46.222187,2195.0
699,46.222187,2196.0
700,46.222187,2197.0
701,46.222187,2198.0
702,36.32135,2202.0
703,36.32135,2204.0
704,44.906696,2206.0
705,44.906696,2207.0
706,44.906696,2208.0
707,44.906696,2209.0
708,46.796055,2212.0
709,46.796055,2213.0
710,46.796055,2214.0
711,46.796055,2215.0
712,46.796055,2216.0
713,44.039547,2219.0
714,44.039547,2220.0
715,44.039547,2221.0
716,56.571613,2225.0
717,56.571613,2226.0
718,56.571613,2227.0
719,56.571613,2228.0
720,36.398285,2230.0
721,36.398285,2231.0
722,36.398285,2232.0
723,36.398285,2233.0
724,36.398285,2234.0
725,28.579674,2236.0
726,28.579674,2237.0
727,28.579674,2240.0
728,40.45406,2242.0
729,40.45406,2243.0
730,40.45406,2244.0
731,40.45406,2245.0
732,40.45406,2246.0
733,40.982124,2255.0
734,40.982124,2256.0
735,40.982124,2257.0
736,40.982124,2258.0
737,36.224472,2261.0
738,36.224472,2263.0
739,36.224472,2264.0
740,35.679813,2266.0
741,35.679813,2267.0
742,35.679813,2268.0
743,35.679813,2269.0
744,35.679813,2270.0
745,31.655819,2272.0
746,31.655819,2274.0
747,31.655819,2275.0
748,43.67039,2279.0
749,43.67039,2282.0
750,39.82995,2284.0
751,39.82995,2286.0
752,39.82995,2287.0
753,39.82995,2288.0
754,40.892864,2290.0
755,40.892864,2294.0
756,32.88049,2296.0
757,32.88049,2297.0
758,32.88049,2298.0
759,32.88049,2299.0
760,43.15189,2302.0
761,43.15189,2303.0
762,43.15189,2304.0
763,43.15189,2305.0
764,43.15189,2306.0
765,34.302303,2308.0
766,34.302303,2309.0
767,34.302303,2310.0
768,34.302303,2311.0
769,34.302303,2312.0
770,32.35893,2315.0
771,32.35893,2316.0
772,41.658825,2318.0
773,41.658825,2319.0
774,41.658825,2320.0
775,50.641773,2322.0
776,50.641773,2323.0
777,33.901722,2326.0
778,33.901722,2328.0
779,34.512814,2337.0
780,34.512814,2338.0
781,34.512814,2339.0
782,29.59809,2342.0
783,29.59809,2343.0
784,28.442968,2345.0
785,28.442968,2347.0
786,30.792559,2349.0
787,30.792559,2350.0
788,36.125164,2353.0
789,36.125164,2354.0
